Report Date,Market,BenchName,Currency,TimeZone,Resolution
12/08/2013,NPS_SpotSubDaily,NPS_SpotSubDaily,EUR,Central Europe Standard Time,Hour
,,NPSBase,NPSPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
05/09/2013,8,34.1060274683605,0
05/09/2013,9,34.0925114123147,34.0925114123147
05/09/2013,10,34.0793742227015,34.0793742227015
05/09/2013,11,34.0666171970161,34.0666171970161
05/09/2013,12,34.0542416349526,34.0542416349526
05/09/2013,13,34.0422488384347,34.0422488384347
05/09/2013,14,34.030640111604,34.030640111604
05/09/2013,15,34.0194167608179,34.0194167608179
05/09/2013,16,34.0085800946545,34.0085800946545
05/09/2013,17,33.9981314238967,33.9981314238967
05/09/2013,18,33.9880720615702,33.9880720615702
05/09/2013,19,33.9784033228971,33.9784033228971
05/09/2013,20,33.9691265253205,33.9691265253205
05/09/2013,21,33.9602429885153,0
05/09/2013,22,33.9517540343559,0
05/09/2013,23,33.9436609869481,0
05/09/2013,24,33.9359651726081,0
06/09/2013,1,33.9286679198758,0
06/09/2013,2,33.9217705595011,0
06/09/2013,3,33.915274424463,0
06/09/2013,4,33.9091808499452,0
06/09/2013,5,33.9034911733661,0
06/09/2013,6,33.8982067343431,0
06/09/2013,7,33.8933288747176,0
06/09/2013,8,33.8888589385679,0
06/09/2013,9,33.8847982721582,33.8847982721582
06/09/2013,10,33.8811482239926,33.8811482239926
